s,q,source_radius,LD_coeff,1.0e-08,1.2e-08,1.5e-08,1.7e-08,2.1e-08,2.5e-08,3.1e-08,3.7e-08,4.4e-08,5.3e-08,6.4e-08,7.7e-08,9.3e-08,1.1e-07,1.4e-07,1.6e-07,2.0e-07,2.4e-07,2.8e-07,3.4e-07,4.1e-07,5.0e-07,6.0e-07,7.2e-07,8.7e-07,1.0e-06,1.3e-06,1.5e-06,1.8e-06,2.2e-06,2.7e-06,3.2e-06,3.9e-06,4.6e-06,5.6e-06,6.7e-06,8.1e-06,9.8e-06,1.2e-05,1.4e-05,1.7e-05,2.1e-05,2.5e-05,3.0e-05,3.6e-05,4.3e-05,5.2e-05,6.3e-05,7.6e-05,9.1e-05,1.1e-04,1.3e-04,1.6e-04,1.9e-04,2.3e-04,2.8e-04,3.4e-04,4.0e-04,4.9e-04,5.9e-04,7.1e-04,8.5e-04,1.0e-03,1.2e-03,1.5e-03,1.8e-03,2.2e-03,2.6e-03,3.1e-03,3.8e-03,4.5e-03,5.5e-03,6.6e-03,7.9e-03,9.5e-03,1.1e-02,1.4e-02,1.7e-02,2.0e-02,2.4e-02,2.9e-02,3.5e-02,4.2e-02,5.1e-02,6.1e-02,7.4e-02,8.9e-02,1.1e-01,1.3e-01,1.6e-01,1.9e-01,2.3e-01,2.7e-01,3.3e-01,3.9e-01,4.8e-01,5.7e-01,6.9e-01,8.3e-01,1.0e+00
0.2,1e-06,2.6041666666666657e-07,0.5,7.296000617444898e-11,7.295999111016434e-11,7.295998809730741e-11,7.295996700730893e-11,7.295994290445352e-11,7.29599308530258e-11,7.295990675017038e-11,7.295987662160111e-11,7.2959840467318e-11,7.295976213303788e-11,7.295972296589783e-11,7.295966572161622e-11,7.295947289877289e-11,7.2959385525922e-11,7.295926802450184e-11,7.295913545879706e-11,7.295897577737992e-11,7.295871365882727e-11,7.295838224456529e-11,7.295812916458341e-11,7.295777063460909e-11,7.295733075749774e-11,7.295683062324785e-11,7.295618587186545e-11,7.295541458049212e-11,7.29542094377213e-11,7.295264877783307e-11,7.295086215367532e-11,7.294872001240018e-11,7.294611087830133e-11,7.294309199566041e-11,7.293994657302855e-11,7.293629800328987e-11,7.293151358648968e-11,7.292441228271258e-11,7.291654872613292e-11,7.290667860683984e-11,7.289540449621875e-11,7.287974065305491e-11,7.286489028126139e-11,7.284612319546267e-11,7.282363221850209e-11,7.279578136906825e-11,7.276283879142767e-11,7.27223520200417e-11,7.267346540354307e-11,7.26142477006415e-11,7.254303581431328e-11,7.245844383037194e-11,7.235593739914225e-11,7.223235904656461e-11,7.208287615012805e-11,7.190278564016936e-11,7.168683309420778e-11,7.142627520144091e-11,7.111181428539184e-11,7.073258899683849e-11,7.027486070819339e-11,6.972208883492695e-11,6.905293331142472e-11,6.824204697235927e-11,6.725698134862604e-11,6.605284788486866e-11,6.457133273526364e-11,6.27271027530656e-11,6.037978290832851e-11,5.726905633683965e-11,5.3353661962982824e-11,4.8664680418817665e-11,4.265853507041916e-11,3.390969266274417e-11,2.6798551907773496e-11,2.1053244647836068e-11,1.564205418253991e-11,1.0759406195102701e-11,7.330196543567142e-12,4.9621874103118565e-12,3.3239524819314448e-12,2.188147600423066e-12,1.395163657218265e-12,8.405268255139645e-13,4.476804107933184e-13,2.521098419433562e-13,1.6339325686885553e-13,9.233803910083871e-14,3.6943651639731273e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,1e-06,6.520951575896632e-07,0.5,4.288062934859322e-10,4.2880625569845746e-10,4.2880621791098267e-10,4.2880618012350787e-10,4.288059911861339e-10,4.2880587782370956e-10,4.2880580224876e-10,4.2880565109886085e-10,4.2880553773643646e-10,4.288054243740121e-10,4.2880519764916336e-10,4.2880489534936505e-10,4.288045552620919e-10,4.2880410181239447e-10,4.2880361057522224e-10,4.2880319491299955e-10,4.2880232580107937e-10,4.28801494476634e-10,4.2880043642733994e-10,4.287991516531971e-10,4.287975267917812e-10,4.2879571299299126e-10,4.287938236192518e-10,4.2879095177116783e-10,4.28787702048336e-10,4.2878399887580667e-10,4.2877882199176055e-10,4.287723603335716e-10,4.2876221439659074e-10,4.2874511556424864e-10,4.2872253754806217e-10,4.286926287617666e-10,4.286802155762984e-10,4.286647604991096e-10,4.2864273040130754e-10,4.2861276493379975e-10,4.2858077783639076e-10,4.285369632593728e-10,4.2848566676234656e-10,4.284213902677303e-10,4.283435480696647e-10,4.2825064756289564e-10,4.281360192581228e-10,4.2799937974928533e-10,4.278309420804128e-10,4.276284390030179e-10,4.273822913922416e-10,4.270959756957644e-10,4.2674853875881586e-10,4.263287954888583e-10,4.2581926917880175e-10,4.2520560058822645e-10,4.2446823469892893e-10,4.2358455570724793e-10,4.2251630379495944e-10,4.212246712254551e-10,4.1967187052394573e-10,4.178025430398653e-10,4.1554366447818385e-10,4.1281828064649326e-10,4.0952464876892383e-10,4.0554082866433115e-10,4.0070739497657986e-10,3.9482632244403754e-10,3.8764486954157723e-10,3.7879232224778017e-10,3.6774651434227295e-10,3.536440398135989e-10,3.346748597256218e-10,3.0829483786947694e-10,2.7589655605356796e-10,2.2770919355924722e-10,1.791169004850863e-10,1.422855810642915e-10,1.1248222182336362e-10,8.451244311536565e-11,5.7982404984308e-11,3.9241499031531935e-11,2.6288840679478686e-11,1.7315505722518226e-11,1.1102602480115264e-11,6.819921237415408e-12,3.850902662021961e-12,2.2395691620642485e-12,1.2486682106691199e-12,6.124216039072896e-13,2.0127498446425479e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,1e-06,1.3605442176870751e-06,0.5,1.809623439284516e-09,1.8096231103438145e-09,1.8096231103438145e-09,1.8096229458734636e-09,1.8096226169327619e-09,1.809622452462411e-09,1.809621712345832e-09,1.8096214656403058e-09,1.8096208077589023e-09,1.8096204788182005e-09,1.809619985407148e-09,1.8096187518795165e-09,1.8096176828222356e-09,1.8096166960001305e-09,1.8096152157669725e-09,1.8096134065931131e-09,1.8096107750674991e-09,1.8096076501308327e-09,1.8096040317831135e-09,1.8096004134353942e-09,1.8095961372062717e-09,1.8095897228625875e-09,1.8095836374596055e-09,1.8095755784124128e-09,1.8095647233692554e-09,1.8095518946818873e-09,1.8095375857613617e-09,1.8095173559082043e-09,1.8094963859384684e-09,1.8094706463285572e-09,1.8094097100635595e-09,1.8093218828961945e-09,1.809217608693742e-09,1.8091066734420797e-09,1.8090134187531357e-09,1.8089178614792797e-09,1.8088102978698101e-09,1.8086723894806048e-09,1.808486949159998e-09,1.8082581709019365e-09,1.8079916466983501e-09,1.8076458477856439e-09,1.8072505432973256e-09,1.806758859183397e-09,1.8061486741816659e-09,1.805418096883097e-09,1.8045754330404096e-09,1.8035521807524662e-09,1.8023158571249692e-09,1.800825509040552e-09,1.7989940494484288e-09,1.796842777259037e-09,1.7942397050158023e-09,1.7910869728599571e-09,1.7872798954131719e-09,1.7827201194056258e-09,1.7772079778313614e-09,1.770571681408894e-09,1.7625540807446374e-09,1.752902384909302e-09,1.7412224407070264e-09,1.7271465746684382e-09,1.7100905058720685e-09,1.6893922411556616e-09,1.6642295932352138e-09,1.633424789928138e-09,1.5954430761552824e-09,1.5479722454889274e-09,1.4871751224080785e-09,1.405054911747864e-09,1.2750281884618375e-09,1.0947415462993868e-09,8.501327702610454e-10,6.727788811601497e-10,5.38280373504293e-10,4.3019144573401223e-10,3.335161024327717e-10,2.315309983240135e-10,1.5621015643915485e-10,1.0417157295323656e-10,6.817263149530554e-11,4.324912346502407e-11,2.6015591160064562e-11,1.5059234266445594e-11,8.97580492843103e-12,4.473593543689742e-12,1.5208573345036415e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1e-06,2.666666666666667e-06,0.5,6.833774618642865e-09,6.833774618642865e-09,6.833773986815881e-09,6.833773354988899e-09,6.833770195853985e-09,6.833767668546055e-09,6.833765141238124e-09,6.833763245757176e-09,6.833760718449245e-09,6.833757559314332e-09,6.833753136525454e-09,6.833748713736574e-09,6.833739868158817e-09,6.833729127100113e-09,6.833720281522355e-09,6.833707013155719e-09,6.833689322000204e-09,6.833668471709776e-09,6.8336394076685725e-09,6.833604025357543e-09,6.833558533814791e-09,6.8334820827498875e-09,6.833315596339954e-09,6.833048333526285e-09,6.832942502506687e-09,6.8328910086076e-09,6.832841094275969e-09,6.832781702539598e-09,6.832709674263573e-09,6.832631327717722e-09,6.832532130881443e-09,6.832422824813441e-09,6.832285086531219e-09,6.832122706996672e-09,6.831834277979084e-09,6.831399896928498e-09,6.830898226304257e-09,6.830374441735624e-09,6.8296889094594264e-09,6.82877655129645e-09,6.8277905852899935e-09,6.826486810311253e-09,6.824869333235617e-09,6.8230329281104856e-09,6.820903987092378e-09,6.8183387695427366e-09,6.8151985894388646e-09,6.811417104947583e-09,6.806811718070898e-09,6.801246586007538e-09,6.79465031230846e-09,6.786677919441125e-09,6.777052667187124e-09,6.765349967814104e-09,6.751406809960534e-09,6.734514599665351e-09,6.7142291625597376e-09,6.68975755578044e-09,6.660197530396208e-09,6.624622196223462e-09,6.58160394019486e-09,6.529669025873322e-09,6.466797502395252e-09,6.3905751588598655e-09,6.297874767616437e-09,6.184485201825467e-09,6.044809106247479e-09,5.870669376072755e-09,5.648732566486001e-09,5.353776460252508e-09,4.9017668050231535e-09,3.900866936003669e-09,3.0262338985089588e-09,2.3939393638714283e-09,1.9235574436399856e-09,1.5577687939467762e-09,1.2531416280030395e-09,9.628878940880708e-10,6.570691024550177e-10,4.396959791640916e-10,2.893514849837155e-10,1.8524661670308656e-10,1.1322971356435422e-10,6.762760109012139e-11,3.993715174761043e-11,1.944889818055885e-11,5.140544331006004e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,1e-06,5.2734375e-06,0.5,2.6457023533650107e-08,2.6457013647379378e-08,2.6457003761108652e-08,2.6456991403270246e-08,2.645697904543184e-08,2.645696668759343e-08,2.6456959272890385e-08,2.6456941971916614e-08,2.6456914784672114e-08,2.6456870296453847e-08,2.645683322293862e-08,2.6456781320017306e-08,2.6456734360231358e-08,2.6456684928877723e-08,2.6456623139685685e-08,2.6456490910814716e-08,2.6456347559889182e-08,2.6456149834474655e-08,2.6455892791435763e-08,2.6455507226877435e-08,2.6454921465336888e-08,2.6454155279355588e-08,2.6453796902041753e-08,2.6453638721710125e-08,2.6453485484513865e-08,2.645333719045297e-08,2.645317530276982e-08,2.645295656903e-08,2.6452674810314295e-08,2.6452390580030907e-08,2.6452084105638387e-08,2.645170842735078e-08,2.6451031217806015e-08,2.6449523561520225e-08,2.6448045564046615e-08,2.644656015186996e-08,2.6444348098794912e-08,2.644169363510485e-08,2.6438648663721094e-08,2.6434723814242676e-08,2.6429926501372654e-08,2.6424224594731152e-08,2.641705704845445e-08,2.6409363058261565e-08,2.6399778318792235e-08,2.638829294377574e-08,2.637426679718254e-08,2.635738598991707e-08,2.633688186443034e-08,2.6312235391509213e-08,2.628279160571806e-08,2.6247265291862436e-08,2.6204077118193785e-08,2.6152274295370844e-08,2.6090026627525374e-08,2.601476986318769e-08,2.5924090516516688e-08,2.581497080337311e-08,2.5683451272331e-08,2.552429590725684e-08,2.5332294643477777e-08,2.509991661426791e-08,2.4818201150997515e-08,2.4475741968815917e-08,2.405754900973408e-08,2.3543067481127806e-08,2.2903407228366618e-08,2.209266753225129e-08,2.103014058592232e-08,1.9521131116827683e-08,1.5808124647540282e-08,1.2074502832220476e-08,9.427241290383516e-09,7.514989375113166e-09,6.095212149811938e-09,4.996872187776278e-09,4.093867634322188e-09,3.2772122409609003e-09,2.3755522203256127e-09,1.5796752964637142e-09,1.0358241290967329e-09,6.590756526841633e-10,3.9995155380762974e-10,2.4537723943135613e-10,1.3234750621545388e-10,4.954998888114251e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,1e-06,1.1303344867358707e-05,0.5,1.2082906296095273e-07,1.2082906296095273e-07,1.2082906296095273e-07,1.2082902889223489e-07,1.208290175359956e-07,1.208290175359956e-07,1.2082898346727774e-07,1.2082896075479918e-07,1.208289493985599e-07,1.208289493985599e-07,1.2082892668608133e-07,1.208288812611242e-07,1.208288244799278e-07,1.208287676987314e-07,1.2082867684881713e-07,1.2082858599890286e-07,1.208285065052279e-07,1.2082834751787795e-07,1.2082808632437444e-07,1.2082757529360676e-07,1.2082678035685702e-07,1.2082536650506635e-07,1.2082351543806335e-07,1.2082155080866755e-07,1.208196543167074e-07,1.2081739442509025e-07,1.208150663960374e-07,1.208125112421989e-07,1.2080861037400543e-07,1.2080188748035039e-07,1.2079808881831045e-07,1.2079259239849786e-07,1.2078725496603523e-07,1.207793907703323e-07,1.207696982201049e-07,1.207585520712494e-07,1.2074461796565012e-07,1.207277255597178e-07,1.2070707991670275e-07,1.2068210754652115e-07,1.2065249615259276e-07,1.2061534421578098e-07,1.205716340507837e-07,1.2051701053983623e-07,1.2045396069934133e-07,1.203777432993987e-07,1.202859621735198e-07,1.2017510256564675e-07,1.2004107055151834e-07,1.1987888074208967e-07,1.1968547263087416e-07,1.1945184072012105e-07,1.1916935994609544e-07,1.1882944499190001e-07,1.1842095538679889e-07,1.1792542588571918e-07,1.1733041572852722e-07,1.1661039608931658e-07,1.157421150681569e-07,1.1468991407370201e-07,1.134141087277802e-07,1.118623297329415e-07,1.0996485545811272e-07,1.0762726445178184e-07,1.0471276513367485e-07,1.0100709365913446e-07,9.612217326316934e-08,8.910407984607296e-08,7.678729009852444e-08,6.327810090446241e-08,4.8043524207534716e-08,3.724840806448774e-08,2.955214842805534e-08,2.3953772299184703e-08,1.97546551934729e-08,1.646166377632878e-08,1.3714089819431153e-08,1.1208960214969658e-08,8.457252586973307e-09,5.60959609328147e-09,3.6183136038619028e-09,2.266728073209832e-09,1.37285576682767e-09,7.157724057190935e-10,2.0872767800721793e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,1e-06,2.9629629629629647e-05,0.5,8.274259070940764e-07,8.274259070940764e-07,8.274259070940764e-07,8.27425829091073e-07,8.27425829091073e-07,8.27425829091073e-07,8.274257510880697e-07,8.274255950820628e-07,8.274255950820628e-07,8.274255950820628e-07,8.274255950820628e-07,8.274255950820628e-07,8.274255170790593e-07,8.274251270640424e-07,8.274246590460218e-07,8.274244640385132e-07,8.274237620114825e-07,8.274229039784449e-07,8.274214609228817e-07,8.274190428297758e-07,8.274112425294341e-07,8.273985280398771e-07,8.273781302544836e-07,8.273450569810347e-07,8.273110476715449e-07,8.272826155767994e-07,8.272583956442385e-07,8.272182240974787e-07,8.271672881362475e-07,8.271174832185657e-07,8.27045057429893e-07,8.269732556652477e-07,8.268730218058569e-07,8.267553542752024e-07,8.266178349801782e-07,8.264522346039239e-07,8.26247125706439e-07,8.26004419361307e-07,8.257168612892104e-07,8.253738040801824e-07,8.249572680419357e-07,8.244500925137184e-07,8.238473243048137e-07,8.231152661177452e-07,8.222350022241846e-07,8.211691691854949e-07,8.198867998093197e-07,8.1833929822453e-07,8.164839577867553e-07,8.142457006052067e-07,8.115413754782414e-07,8.082869341696779e-07,8.043625250647659e-07,7.996137022167398e-07,7.938888667884587e-07,7.869498756104904e-07,7.785332735387942e-07,7.682860189799047e-07,7.557579175996008e-07,7.403178470972359e-07,7.210719710566543e-07,6.966493866928028e-07,6.647153081074041e-07,6.206480573480017e-07,5.541428526406862e-07,4.868856209774275e-07,4.232591171112158e-07,3.6189953653030863e-07,2.9971967636546843e-07,2.2935094389740785e-07,1.7789801776096985e-07,1.4147443731240477e-07,1.1524943754859697e-07,9.58697083541519e-08,8.099320955147456e-08,6.894435862416467e-08,5.844246326062046e-08,4.830928809422834e-08,3.637174745279449e-08,2.3559988150564772e-08,1.4334104918417327e-08,7.357594295805506e-09,1.8648568041915954e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,1e-06,0.00013462603878114,0.5,1.705288646910664e-05,1.7052860702465532e-05,1.7052834935824426e-05,1.7052801117107973e-05,1.7052762467146314e-05,1.7052697245336014e-05,1.7052650543299008e-05,1.7052576464205827e-05,1.705246937160373e-05,1.705233973319066e-05,1.7052202847909784e-05,1.7052049858478215e-05,1.705183567327402e-05,1.7051627124522563e-05,1.7051389588299863e-05,1.7051110181285367e-05,1.7050817085742783e-05,1.705044749548441e-05,1.7050023956321225e-05,1.7049479636027854e-05,1.7048626116041206e-05,1.7047306380892036e-05,1.7045983424912732e-05,1.70445364669731e-05,1.7042703009416872e-05,1.704056196258244e-05,1.7037991740132077e-05,1.7034863508860255e-05,1.7031128956314895e-05,1.7026620599328813e-05,1.7021204773451263e-05,1.7014687423666415e-05,1.7006843897072122e-05,1.699740364393677e-05,1.6985976943813618e-05,1.6972215141840205e-05,1.6955811453945846e-05,1.6935864852899365e-05,1.6912070165045147e-05,1.688324695613751e-05,1.6848370196984943e-05,1.6806557380129547e-05,1.6756134479106944e-05,1.66951979833054e-05,1.6622079502713275e-05,1.6533339995950402e-05,1.6426224042833464e-05,1.6296866647196503e-05,1.614011206519564e-05,1.594944214183849e-05,1.5716966648493756e-05,1.5431495616053452e-05,1.507822288837182e-05,1.4634688006479436e-05,1.4067610132557253e-05,1.3322032241955481e-05,1.2301886634139085e-05,1.1006997773865525e-05,9.839583734013087e-06,8.775953698499516e-06,7.808136112732525e-06,6.928559610264506e-06,6.128289608291818e-06,5.398327912615589e-06,4.728235812757593e-06,4.105315185897586e-06,3.5124135011340593e-06,2.913146650809719e-06,2.237583165754288e-06,1.7464629341911412e-06,1.4043697079195453e-06,1.1600681315145122e-06,9.837075512542886e-07,8.504473146972449e-07,7.494662377862318e-07,6.525047568878155e-07,5.321358929593128e-07,3.6897991105857964e-07,1.258313918430575e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1e-06,0.00013462603878114,0.5,1.7052934781558714e-05,1.705292350865323e-05,1.705290740450254e-05,1.7052882443068967e-05,1.7052860702465532e-05,1.7052834130616892e-05,1.705278984420249e-05,1.705274233695795e-05,1.7052690803675736e-05,1.705264007560106e-05,1.7052572438168155e-05,1.705248708616949e-05,1.7052371941492046e-05,1.7052243108286515e-05,1.7052083677194668e-05,1.7051916194027475e-05,1.7051706840068488e-05,1.7051443537204682e-05,1.705112789585113e-05,1.7050743811857136e-05,1.705028162273229e-05,1.7049729250363572e-05,1.7049036771883836e-05,1.7048215460198572e-05,1.704716788519609e-05,1.7045960879101763e-05,1.7044504258671716e-05,1.7042705425039475e-05,1.704054988446942e-05,1.7038042468206755e-05,1.703490135361438e-05,1.7031090306353236e-05,1.7026420907860238e-05,1.7020872222739485e-05,1.7014304950087494e-05,1.7006381707947276e-05,1.6996751425833765e-05,1.6985235347674276e-05,1.6971525078983075e-05,1.695588070179382e-05,1.6937005026768322e-05,1.691479418213461e-05,1.6884803422301845e-05,1.6847800110050462e-05,1.6805085460756343e-05,1.6756988804301127e-05,1.6696906633693767e-05,1.6620779092544937e-05,1.653128510632217e-05,1.6426302953171852e-05,1.628660105633821e-05,1.6129471247626236e-05,1.5924721465319512e-05,1.5670853218196196e-05,1.533993305167436e-05,1.4704353757163303e-05,1.3658290129224014e-05,1.2124475258046242e-05,1.0763738136010229e-05,9.601539425359234e-06,8.567683548851632e-06,7.636608388094819e-06,6.78214389300758e-06,5.9834601498780044e-06,5.204189960407026e-06,4.434593534256426e-06,3.794096032124188e-06,3.2313630580585716e-06,2.7882903652910318e-06,2.4806076830094855e-06,2.235820566461104e-06,2.0179193294921714e-06,1.8143942678455356e-06,1.6594328830241694e-06,1.515758897422471e-06,1.3783131921007082e-06,1.2473598751302209e-06,1.1233860970694272e-06,1.0066213420656808e-06,8.972041058149285e-07,7.966063076903731e-07,7.041660670985937e-07,6.175982050564677e-07,5.347399341261274e-07,4.5202982138214875e-07,3.680273505451778e-07,2.806816580246526e-07,1.9320874271366468e-07,1.3985408105767588e-07,9.985620198521227e-08,5.962078669004908e-08,2.0585130621402204e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
