s1,s2,q2,alpha,source_radius,LD_coeff,1.0e-08,1.2e-08,1.5e-08,1.7e-08,2.1e-08,2.5e-08,3.1e-08,3.7e-08,4.4e-08,5.3e-08,6.4e-08,7.7e-08,9.3e-08,1.1e-07,1.4e-07,1.6e-07,2.0e-07,2.4e-07,2.8e-07,3.4e-07,4.1e-07,5.0e-07,6.0e-07,7.2e-07,8.7e-07,1.0e-06,1.3e-06,1.5e-06,1.8e-06,2.2e-06,2.7e-06,3.2e-06,3.9e-06,4.6e-06,5.6e-06,6.7e-06,8.1e-06,9.8e-06,1.2e-05,1.4e-05,1.7e-05,2.1e-05,2.5e-05,3.0e-05,3.6e-05,4.3e-05,5.2e-05,6.3e-05,7.6e-05,9.1e-05,1.1e-04,1.3e-04,1.6e-04,1.9e-04,2.3e-04,2.8e-04,3.4e-04,4.0e-04,4.9e-04,5.9e-04,7.1e-04,8.5e-04,1.0e-03,1.2e-03,1.5e-03,1.8e-03,2.2e-03,2.6e-03,3.1e-03,3.8e-03,4.5e-03,5.5e-03,6.6e-03,7.9e-03,9.5e-03,1.1e-02,1.4e-02,1.7e-02,2.0e-02,2.4e-02,2.9e-02,3.5e-02,4.2e-02,5.1e-02,6.1e-02,7.4e-02,8.9e-02,1.1e-01,1.3e-01,1.6e-01,1.9e-01,2.3e-01,2.7e-01,3.3e-01,3.9e-01,4.8e-01,5.7e-01,6.9e-01,8.3e-01,1.0e+00
1.2,0.2,0.0001,0.0,0.0005,0.5,0.99998676,0.9999838,0.99998132,0.99997652,0.99997236,0.99996624,0.99995964,0.99995088,0.9999416,0.9999306,0.99991608,0.9998988,0.99988064,0.99985844,0.99982728,0.99979368,0.99975056,0.99969796,0.9996358,0.99955888,0.99947496,0.99936936,0.99924456,0.9990918,0.99890556,0.99867988,0.99841748,0.9980928,0.99770876,0.99724692,0.996697,0.99602844,0.99522492,0.9942698,0.99310304,0.99166884,0.98995656,0.9878568,0.98531404,0.98221568,0.9784698,0.97390192,0.96816336,0.96090636,0.95177316,0.9399398,0.92394936,0.90215392,0.87351672,0.84076248,0.80006856,0.74159988,0.64650996,0.5459566,0.4444066,0.2348554,0.09736916,0.04741628,0.02608128,0.01549456,0.0096868,0.00628564,0.00418348,0.00286448,0.00202776,0.00146268,0.00107528,0.00078372,0.000604,0.00047476,0.0003848,0.00030644,0.00023708,0.00017136,0.00011552,8.512e-05,6.712e-05,5.252e-05,4.148e-05,3.1e-05,2.32e-05,1.672e-05,1.196e-05,7.36e-06,3.52e-06,8.8e-07,8e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.2,0.0001,45.0,0.0005,0.5,0.9999874,0.99998524,0.99998212,0.99997816,0.99997408,0.99996892,0.99996248,0.9999538,0.99994572,0.99993352,0.99992096,0.99990324,0.99988416,0.9998606,0.99983256,0.99979852,0.99975872,0.99970788,0.99964752,0.99957608,0.99948972,0.99938756,0.99926032,0.9991064,0.99892048,0.99870168,0.99844052,0.99812148,0.99773388,0.9972702,0.9967178,0.99604864,0.99525108,0.99427452,0.99310172,0.99169344,0.98996852,0.98788404,0.98534796,0.98228628,0.97856296,0.97396544,0.96828808,0.96117116,0.95211116,0.94018164,0.9241444,0.90112628,0.86589304,0.81317436,0.76825568,0.727735,0.67339616,0.58546604,0.40607092,0.26441868,0.117113,0.0658284,0.04233796,0.02939796,0.0211842,0.01527452,0.01118696,0.00801508,0.00530436,0.00385608,0.00293004,0.00227964,0.00178756,0.00141524,0.00113444,0.00092464,0.000767,0.0006462,0.0005426,0.00045724,0.00037928,0.00030848,0.0002512,0.00019724,0.00014776,0.00010752,7.168e-05,4.212e-05,2.432e-05,1.316e-05,6e-06,3.08e-06,1.6e-06,3.2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.2,0.0001,90.0,0.0005,0.5,0.99998652,0.99998316,0.99997936,0.99997592,0.99997096,0.99996476,0.9999584,0.999951,0.99994148,0.99992896,0.9999156,0.99989976,0.9998794,0.9998544,0.99982444,0.99978616,0.99974456,0.9996892,0.99962636,0.99955204,0.99946212,0.99934828,0.99921632,0.99905744,0.99886516,0.99862696,0.99834952,0.9980116,0.99760896,0.99711584,0.99652936,0.99581892,0.994963,0.99392552,0.99268532,0.9911888,0.98938008,0.98718396,0.98450548,0.98128728,0.97737112,0.97255804,0.96660408,0.959169,0.94974044,0.93758976,0.92135532,0.89936216,0.87065756,0.83681604,0.79473208,0.73496204,0.64139348,0.55310592,0.462772,0.26110628,0.12493684,0.0693656,0.04436408,0.03077684,0.02227368,0.01631732,0.01157504,0.00795312,0.0053848,0.00393832,0.00298788,0.00231536,0.00181956,0.00144964,0.0011684,0.00095708,0.00079456,0.00066272,0.00055912,0.0004732,0.00039544,0.00032776,0.0002668,0.00020652,0.00015644,0.00011568,7.696e-05,4.612e-05,2.648e-05,1.448e-05,7e-06,3.28e-06,1.76e-06,4.8e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.2,0.0001,135.0,0.0005,0.5,0.9999882,0.99998548,0.9999826,0.9999784,0.99997408,0.9999684,0.99996196,0.99995516,0.99994584,0.99993444,0.999922,0.99990516,0.99988564,0.99986292,0.99983548,0.99980092,0.99976172,0.99971212,0.99965592,0.99958636,0.9995048,0.99940288,0.9992824,0.99912556,0.99894524,0.99873148,0.99847004,0.99815592,0.9977708,0.99731056,0.99675748,0.99609264,0.99529332,0.99431696,0.9931508,0.99174012,0.99004656,0.98798864,0.9854864,0.9824458,0.97873164,0.97421796,0.96857512,0.96155236,0.95259296,0.94082332,0.92483728,0.90213576,0.86750348,0.81467424,0.77054576,0.73947924,0.68865356,0.59151904,0.41063164,0.2724132,0.11249592,0.05957676,0.03598504,0.02286092,0.01445048,0.00956332,0.00661072,0.00467868,0.0033908,0.0025248,0.00191128,0.00147076,0.00115408,0.00092372,0.00075228,0.0006204,0.000514,0.00043132,0.00035348,0.00028944,0.00023276,0.00018072,0.0001294,8.98e-05,5.804e-05,3.664e-05,2.228e-05,1.42e-05,8.12e-06,3.24e-06,1.8e-06,9.2e-07,2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.2,0.0001,180.0,0.0005,0.5,0.99998704,0.99998488,0.9999828,0.99997896,0.99997448,0.99996864,0.99996304,0.99995616,0.99994596,0.99993348,0.99992044,0.99990448,0.9998852,0.99986352,0.99983628,0.99980432,0.99976412,0.99972244,0.99966484,0.99959612,0.99951152,0.99941584,0.99930016,0.99916236,0.99900144,0.9987936,0.99854128,0.99824164,0.99787268,0.997447,0.99691912,0.99629064,0.99552344,0.99460872,0.99350848,0.9921652,0.9905378,0.98852892,0.9860928,0.9831674,0.97962484,0.97534424,0.97004848,0.9633914,0.95508296,0.94420136,0.9292236,0.9079102,0.87755876,0.84080344,0.79769884,0.73752452,0.64093732,0.53901968,0.43606868,0.23170048,0.10297588,0.05066256,0.02807792,0.01673852,0.0104268,0.00672188,0.00441804,0.00292684,0.00206364,0.0015166,0.0011324,0.0008512,0.0006388,0.00046132,0.00032876,0.00023236,0.00016144,0.00012048,9.176e-05,6.896e-05,5.308e-05,3.972e-05,3.032e-05,2.26e-05,1.532e-05,9.68e-06,5.84e-06,2.52e-06,8e-07,4.8e-07,8e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.2,0.0003,0.0,0.0005,0.5,0.99998196,0.99997764,0.99997372,0.9999694,0.99996204,0.99995612,0.99994668,0.99993748,0.99992356,0.99990664,0.99988736,0.99986308,0.99983252,0.99979976,0.99975824,0.99970712,0.99965,0.999573,0.99949184,0.99939428,0.99926844,0.99911692,0.9989338,0.998716,0.99844764,0.99812884,0.99773848,0.99729024,0.99674396,0.99607648,0.99527176,0.99429908,0.99313316,0.99170356,0.99000064,0.98791456,0.98541472,0.98245668,0.97884888,0.97442208,0.96898028,0.96237576,0.954587,0.94532004,0.9339176,0.92014624,0.90294692,0.88125044,0.85552264,0.82623224,0.79404604,0.75882688,0.71788372,0.66578904,0.61157232,0.54995824,0.45391876,0.32568348,0.21816024,0.1330166,0.08453144,0.05469672,0.03602228,0.0239646,0.01610244,0.01088816,0.00742428,0.0051134,0.0035908,0.00257008,0.00187564,0.00137916,0.00101608,0.00075948,0.00058936,0.00046828,0.00037624,0.00029644,0.0002288,0.00016168,0.00011076,8.312e-05,6.528e-05,5.144e-05,3.968e-05,2.992e-05,2.164e-05,1.48e-05,1.036e-05,5.44e-06,1.68e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.2,0.0003,45.0,0.0005,0.5,0.99998816,0.99998556,0.99998268,0.99997892,0.99997424,0.99996804,0.99996208,0.9999536,0.9999434,0.99993212,0.99991804,0.99990212,0.9998838,0.9998602,0.99983208,0.99979656,0.99975344,0.99970476,0.99964028,0.99956856,0.99948244,0.99937552,0.99924844,0.9990932,0.99890908,0.99868488,0.99841764,0.9980908,0.99769828,0.99723348,0.99666904,0.99598752,0.99517508,0.99419284,0.9930166,0.99158432,0.98985116,0.9877652,0.98524912,0.98217396,0.97842144,0.9738474,0.96822732,0.96132704,0.9532022,0.94406348,0.93382296,0.92177288,0.90758224,0.88985476,0.86364208,0.82015856,0.7669274,0.70278532,0.6096652,0.5102494,0.4332138,0.36088776,0.239753,0.15473788,0.10547144,0.07478896,0.05464904,0.04090104,0.03117644,0.02400936,0.01848168,0.01389988,0.01000364,0.00680672,0.0048486,0.00365384,0.0028278,0.0022148,0.00174304,0.00138152,0.00111408,0.00090944,0.00075436,0.00063664,0.00053408,0.0004508,0.0003714,0.000303,0.00024352,0.00019068,0.00014056,0.0001002,6.408e-05,3.7e-05,1.808e-05,5.64e-06,1.76e-06,1.6e-07,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.2,0.0003,90.0,0.0005,0.5,0.99998192,0.99997764,0.9999724,0.99996728,0.99996056,0.99995332,0.99994396,0.99993232,0.9999178,0.9999012,0.99987996,0.99985692,0.99982708,0.99979328,0.99975172,0.99970208,0.99964184,0.99956736,0.99947892,0.99937464,0.99924964,0.99909788,0.99890856,0.99868672,0.99842184,0.99809348,0.99769824,0.99722188,0.9966522,0.99596936,0.99514116,0.99414792,0.9929532,0.99150272,0.98976376,0.98767536,0.98516116,0.98211684,0.97847116,0.9740258,0.96866484,0.9621866,0.95423048,0.94483152,0.9336036,0.91940712,0.90220436,0.88099704,0.8551532,0.82614272,0.79475024,0.76092484,0.72310804,0.6765478,0.62638768,0.57197524,0.4804502,0.3555684,0.25433216,0.16510272,0.11175072,0.07868396,0.05717304,0.04259784,0.03235348,0.02487276,0.0192262,0.01471944,0.01070228,0.00702708,0.00499768,0.00374716,0.00288564,0.00224784,0.00177256,0.00141752,0.00114648,0.0009378,0.00077676,0.00065344,0.0005548,0.00046844,0.00039168,0.00032236,0.00025788,0.00020056,0.00014788,0.00010648,6.924e-05,3.912e-05,1.992e-05,7.6e-06,2.8e-06,6e-07,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.2,0.0003,135.0,0.0005,0.5,0.9999936,0.99999172,0.99998992,0.99998716,0.9999838,0.99998108,0.99997728,0.99997276,0.99996748,0.9999616,0.99995444,0.99994488,0.99993344,0.999919,0.9999014,0.99988104,0.99985612,0.99982684,0.99979256,0.99974892,0.99969704,0.99963412,0.99955984,0.99947204,0.99936304,0.99922776,0.99906872,0.99888056,0.99864964,0.99836904,0.99803828,0.99763892,0.99715288,0.9965612,0.99585796,0.9949968,0.99395432,0.99269972,0.99116668,0.98930392,0.98698496,0.98411304,0.980551,0.976193,0.97080984,0.96377672,0.95462676,0.94250484,0.92646388,0.90630516,0.8765202,0.8298734,0.77488824,0.70870412,0.61246432,0.5147256,0.4410218,0.37415332,0.242351,0.150474,0.09939936,0.06830868,0.04825572,0.03468732,0.02499124,0.01745488,0.0119124,0.00825268,0.0058902,0.0043016,0.00320264,0.00242196,0.00184964,0.0014322,0.00112912,0.000904,0.00073648,0.0006098,0.00050568,0.00042276,0.00034796,0.00028356,0.00022476,0.0001736,0.00012328,8.26e-05,4.896e-05,2.912e-05,1.688e-05,9.48e-06,4.68e-06,1.2e-06,1.6e-07,8e-08,0.0,0.0,0.0,0.0,0.0,0.0
