s,q,pixels,ang_width,num_r,num_theta,y_plus,y_minus,min_source_radius,max_source_radius
0.2,0.001,4602,4.1295290858725755,1312944,328236,3.3633422183573796,0.297323387408753,8.680555555555556e-06,0.0008680555555555555
0.3,0.001,4602,4.1295290858725755,1315644,328911,3.3633422181724764,0.2971829145595299,2.1736505252988773e-05,0.0021736505252988774
0.4,0.001,4602,4.1295290858725755,1313052,328263,3.3633422179091683,0.297050389353588,4.53514739229025e-05,0.00453514739229025
0.5,0.001,4602,4.1295290858725755,1312968,328242,3.363342217562814,0.2970503907921989,8.888888888888889e-05,0.008888888888888889
0.6,0.001,4602,4.1295290858725755,1312948,328237,3.3633422171271437,0.2970503865238805,0.00017578125,0.017578125
0.7,0.001,4602,4.1295290858725755,1312936,328234,3.3633422165940146,0.29705038366834524,0.00037677816224529026,0.03767781622452902
0.8,0.001,4602,4.1295290858725755,1312932,328233,3.3633422159530655,0.2970503818075953,0.0009876543209876546,0.09876543209876545
0.9,0.001,4602,4.1295290858725755,1312932,328233,3.363342215191262,0.297050380544868,0.00448753462603878,0.448753462603878
1.0,0.001,4602,4.1295290858725755,1312932,328233,3.363342215191262,0.297050380544868,0.00448753462603878,0.448753462603878
1/0.9,0.001,4602,4.1295290858725755,1312928,328232,3.3633422131075883,0.2970503789358654,0.004487534626038775,0.44875346260387755
1/0.8,0.001,4602,4.1295290858725755,1312928,328232,3.3633422112978164,0.29705037830150555,0.0009876543209876546,0.09876543209876545
1/0.7,0.001,4602,4.1295290858725755,1312924,328231,3.363342208286846,0.2970503777469827,0.00037677816224529026,0.03767781622452902
1/0.6,0.001,4602,4.1295290858725755,1312924,328231,3.363342202565063,0.29705037727052697,0.00017578124999999997,0.017578124999999997
1/0.5,0.001,4602,4.1295290858725755,1312924,328231,3.3633421887783252,0.297050376870467,8.888888888888889e-05,0.008888888888888889
1/0.4,0.001,4602,4.1295290858725755,1312928,328232,3.363342130878589,0.297050376545308,4.5351473922902516e-05,0.004535147392290251
1/0.3,0.001,4602,4.1295290858725755,1314688,328672,3.36326161762544,0.29705037629376857,2.1736505252988773e-05,0.0021736505252988774
1/0.2,0.001,4602,4.1295290858725755,1312828,328207,3.3630693194640697,0.29705037611484714,8.680555555555567e-06,0.0008680555555555568
0.2,0.0003,4602,1.2388587257617727,1580224,395056,1.5605892690801784,0.6407835972259475,2.604166666666666e-06,0.0002604166666666666
0.3,0.0003,4602,1.2388587257617727,1580296,395074,1.560589268373149,0.640783604330625,6.520951575896632e-06,0.0006520951575896632
0.4,0.0003,4602,1.2388587257617727,1580500,395125,1.5605892672965778,0.6407836228499322,1.3605442176870747e-05,0.0013605442176870747
0.5,0.0003,4602,1.2388587257617727,1581388,395347,1.5605892657435332,0.6407836936974679,2.666666666666666e-05,0.002666666666666666
0.6,0.0003,4602,1.2388587257617727,1595372,398843,1.5605892635396759,0.6407847726718849,5.2734374999999986e-05,0.005273437499999999
0.7,0.0003,4602,1.2388587257617727,1590028,397507,1.5605892603966058,0.64064679553526,0.00011303344867358705,0.011303344867358706
0.8,0.0003,4602,1.2388587257617727,1582076,395519,1.5605892558189425,0.6406472705708701,0.0002962962962962964,0.029629629629629638
0.9,0.0003,4602,1.2388587257617727,1581092,395273,1.560589248905818,0.640647318762409,0.001346260387811634,0.13462603878116342
1.0,0.0003,4602,1.2388587257617727,1581092,395273,1.560589248905818,0.640647318762409,0.001346260387811634,0.13462603878116342
1/0.9,0.0003,4602,1.2388587257617727,1580620,395155,1.560589215944542,0.6406473387256694,0.0013462603878116326,0.13462603878116325
1/0.8,0.0003,4602,1.2388587257617727,1580524,395131,1.5605891488576173,0.6406473421665739,0.0002962962962962964,0.029629629629629638
1/0.7,0.0003,4602,1.2388587257617727,1581452,395363,1.5605885780761346,0.6406473441857031,0.00011303344867358705,0.011303344867358706
1/0.6,0.0003,4602,1.2388587257617727,1582512,395628,1.5604540752867315,0.640647345411017,5.2734374999999986e-05,0.005273437499999999
1/0.5,0.0003,4602,1.2388587257617727,1580316,395079,1.560453085982872,0.6406473461705612,2.666666666666666e-05,0.002666666666666666
1/0.4,0.0003,4602,1.2388587257617727,1580200,395050,1.5604530373220251,0.640647346645843,1.3605442176870747e-05,0.0013605442176870747
1/0.3,0.0003,4602,1.2388587257617727,1580184,395046,1.5604530275291972,0.6406473469413779,6.5209515758966285e-06,0.0006520951575896629
1/0.2,0.0003,4602,1.2388587257617727,1580172,395043,1.5604530246461217,0.6406473471184728,2.6041666666666725e-06,0.00026041666666666726
