s,q,pixels,ang_width,num_r,num_theta,y_plus,y_minus
0.2,1e-06,4921,8.541666666666666e-06,1862696,465674,1.0000031684044293,0.999996831605737
0.2,3e-06,4921,2.5625000000000003e-05,1862696,465674,1.0000095052432154,0.9999904948475801
0.2,1e-05,4921,8.541666666666668e-05,1862696,465674,1.0000316844984252,0.9999683165104837
0.2,3e-05,4921,0.00025624999999999997,1862696,465674,1.0000950565254887,0.9999049525547604
0.2,0.0001,4921,0.0008541666666666666,1862696,465674,1.0003168904343605,0.9996832104572602
0.2,0.0003,4921,0.0025624999999999997,1862704,465676,1.0009509742963403,0.9990499337266747
0.2,0.001,4920,0.008541666666666666,1862332,465583,1.0031734491739808,0.9968366398936283
0.3,1e-06,4764,2.0707644004347307e-05,1795016,448754,1.0000076847788775,0.999992315280363
0.3,3e-06,4764,6.212293201304191e-05,1795016,448754,1.0000230545138187,0.9999769460188477
0.3,1e-05,4764,0.00020707644004347306,1795016,448754,1.0000768504513593,0.9999231554673499
0.3,3e-05,4764,0.0006212293201304192,1795020,448755,1.000230569113613,0.9997694841548227
0.3,0.0001,4764,0.002070764400434731,1795028,448757,1.0007687709075335,0.9992318209637284
0.3,0.0003,4764,0.006212293201304192,1795052,448763,1.00230808867284,0.9976972381578876
0.3,0.001,4764,0.020707644004347308,1795100,448775,1.0077143476336399,0.9923448384134204
0.4,1e-06,4691,4.253968253968255e-05,1763456,440864,1.000015789628289,0.9999842106212639
0.4,3e-06,4691,0.00012761904761904763,1763456,440864,1.000047369631256,0.9999526326151599
0.4,1e-05,4691,0.00042539682539682546,1763460,440865,1.0001579075072702,0.99984211745294
0.4,3e-05,4691,0.0012761904761904763,1763468,440867,1.000473797406334,0.9995264272355673
0.4,0.0001,4691,0.004253968253968255,1763492,440873,1.001580198337992,0.9984222976812372
0.4,0.0003,4691,0.012761904761904763,1763556,440889,1.0047480833481721,0.9952743807007114
0.4,0.001,4691,0.04253968253968255,1763632,440908,1.0159142999101631,0.9843352860591088
0.5,1e-06,4651,8.266666666666667e-05,1746152,436538,1.0000306864161734,0.9999693145260621
0.5,3e-06,4651,0.000248,1746156,436539,1.0000920620754983,0.9999079464048354
0.5,1e-05,4651,0.0008266666666666667,1746164,436541,1.0003069065647479,0.9996931876613644
0.5,3e-05,4651,0.0024800000000000004,1746184,436546,1.0009210023768407,0.9990798456582556
0.5,0.0001,4651,0.008266666666666667,1746248,436562,1.0030733058684809,0.996936116722067
0.5,0.0003,4651,0.024799999999999996,1746392,436598,1.009248184704973,0.990836616983115
0.5,0.001,4650,0.08266666666666667,1746012,436503,1.0311569587850935,0.9697850801742733
0.6,1e-06,4627,0.00016265624999999999,1735804,433951,1.0000603824734495,0.9999396211738351
0.6,3e-06,4627,0.0004879687499999999,1735808,433952,1.0001811583639453,0.9998188744614822
0.6,1e-05,4627,0.0016265624999999995,1735828,433957,1.000603988868693,0.9993963758579202
0.6,3e-05,4627,0.0048796874999999995,1735884,433971,1.0018130607885989,0.9981902217483981
0.6,0.0001,4627,0.016265625,1736052,434013,1.0060563012202148,0.9939801711071623
0.6,0.0003,4627,0.04879687499999999,1736380,434095,1.0182783071409798,0.982049919915104
0.6,0.001,4627,0.16265625,1735784,433946,1.0622025525815009,0.9414414138768428
0.7,1e-06,4613,0.0003476047673971549,1729760,432440,1.0001290477234135,0.9998709689315415
