s,q,pixels,ang_width,num_r,num_theta,y_plus,y_minus,min_source_radius,max_source_radius
0.2,1e-06,5000,0.2,1855628,463907,1.0769986740010296,0.9285062499520729,8.680555555555553e-09,8.680555555555554e-07
0.2,3e-06,5000,0.2,1855632,463908,1.0769986740002935,0.928506249953084,2.604166666666667e-08,2.604166666666667e-06
0.2,1e-05,5000,0.2,1855640,463910,1.0769986739919222,0.9285062499645862,8.680555555555556e-08,8.680555555555556e-06
0.2,3e-05,5000,0.2,1855672,463918,1.0769986739183337,0.9285062500657011,2.604166666666666e-07,2.604166666666666e-05
0.2,0.0001,5000,0.2,1855772,463943,1.0769986730813914,0.9285062512156994,8.680555555555555e-07,8.680555555555555e-05
0.2,0.0003,5000,0.2,1856064,464016,1.0769986657270052,0.9285062613208713,2.604166666666666e-06,0.0002604166666666666
0.2,0.001,5000,0.2,1857080,464270,1.0769985822006392,0.9285063760849294,8.680555555555556e-06,0.0008680555555555555
0.3,1e-06,5000,0.2,1855628,463907,1.0769986740008979,0.9285062499522624,2.1736505252988772e-08,2.1736505252988773e-06
0.3,3e-06,5000,0.2,1855636,463909,1.07699867399911,0.9285062499547909,6.520951575896631e-08,6.520951575896631e-06
0.3,1e-05,5000,0.2,1855652,463913,1.0769986739787747,0.928506249983553,2.1736505252988774e-07,2.1736505252988773e-05
0.3,3e-05,5000,0.2,1855704,463926,1.0769986738000097,0.9285062502363942,6.520951575896631e-07,6.520951575896632e-05
0.3,0.0001,5000,0.2,1855892,463973,1.0769986717668945,0.9285062531119588,2.1736505252988777e-06,0.00021736505252988776
0.3,0.0003,5000,0.2,1856416,464104,1.0769986539019882,0.9285062783787335,6.520951575896632e-06,0.0006520951575896632
0.3,0.001,5000,0.2,1858252,464563,1.076998451023308,0.928506565287874,2.1736505252988773e-05,0.0021736505252988774
0.4,1e-06,5000,0.2,1855632,463908,1.076998674000676,0.9285062499526066,4.5351473922902504e-08,4.53514739229025e-06
0.4,3e-06,5000,0.2,1855640,463910,1.0769986739971127,0.9285062499578899,1.360544217687075e-07,1.3605442176870749e-05
0.4,1e-05,5000,0.2,1855672,463918,1.0769986739565793,0.9285062500179851,4.5351473922902503e-07,4.53514739229025e-05
0.4,3e-05,5000,0.2,1855764,463941,1.0769986736002648,0.9285062505462632,1.3605442176870747e-06,0.00013605442176870748
0.4,0.0001,5000,0.2,1856084,464021,1.076998669547918,0.9285062565541997,4.53514739229025e-06,0.000453514739229025
0.4,0.0003,5000,0.2,1857000,464250,1.0769986339418591,0.9285063093396085,1.3605442176870747e-05,0.0013605442176870747
0.4,0.001,5000,0.2,1860184,465046,1.0769982296574951,0.9285069085493713,4.53514739229025e-05,0.00453514739229025
0.5,1e-06,5000,0.2,1855636,463909,1.0769986740003037,0.9285062499532535,8.888888888888888e-08,8.888888888888888e-06
0.5,3e-06,5000,0.2,1855652,463913,1.0769986739937631,0.9285062499637097,2.6666666666666667e-07,2.6666666666666667e-05
0.5,1e-05,5000,0.2,1855708,463927,1.0769986739193635,0.9285062500826471,8.88888888888889e-07,8.888888888888889e-05
0.5,3e-05,5000,0.2,1855876,463969,1.0769986732653407,0.9285062511281726,2.666666666666667e-06,0.0002666666666666667
0.5,0.0001,5000,0.2,1856452,464113,1.0769986658274084,0.928506263017873,8.88888888888889e-06,0.0008888888888888889
0.5,0.0003,5000,0.2,1858096,464524,1.076998600479467,0.9285063674617053,2.666666666666666e-05,0.002666666666666666
0.5,0.001,5000,0.2,1863768,465942,1.0769978587127698,0.9285075523770773,8.888888888888889e-05,0.008888888888888889
0.6,1e-06,5000,0.2,1855644,463911,1.0769986739996495,0.928506249954612,1.7578124999999998e-07,1.7578125e-05
